čač,t͡ʃ a t͡ʃ
čača,t͡ʃ a t͡ʃ a
čačo,t͡ʃ a t͡ʃ ɔ
ča-ča,t͡ʃ a t͡ʃ a
čaňa,ˈ t͡ʃ a ɲ a
čabajka,t͡ʃ a b a j k a
čabraka,t͡ʃ a b r a k a
čacký,t͡ʃ a t͡s k iː
čad,t͡ʃ a t
čadivý,t͡ʃ a ɟ ɪ v iː
čadský,t͡ʃ a t͡s k iː
čaj,ˈ t͡ʃ a j
čajní,t͡ʃ a j ɲ iː
čajník,t͡ʃ a j ɲ iː k
čajovka,t͡ʃ a j ɔ f k a
čajovna,t͡ʃ a j ɔ v n a
čajovník,t͡ʃ a j ɔ v ɲ iː k
čajový,t͡ʃ a j ɔ v iː
čalamáda,ˈ t͡ʃ a l a m aː d a
čalounový,t͡ʃ a l ɔ ʊ̯ n ɔ v iː
čalouník,t͡ʃ a l ɔ ʊ̯ ɲ iː k
čalouníkův,t͡ʃ a l ɔ ʊ̯ ɲ iː k uː f
čamara,t͡ʃ a m a r a
čamburina,t͡ʃ a m b ʊ r ɪ n a
čamburína,t͡ʃ a m b ʊ r iː n a
čamrdář,t͡ʃ a m r̩ d aː r̝̊
čapek,ˈ t͡ʃ a p ɛ k
čapková,ˈ t͡ʃ a p k ɔ v aː
čapák,t͡ʃ a p aː k
čapí,t͡ʃ a p iː
čar,ˈ t͡ʃ a r
čardáš,t͡ʃ a r d aː ʃ
čarodky,ˈ t͡ʃ a r ɔ t k ɪ
čaroděj,t͡ʃ a r ɔ ɟ ɛ j
čarodějnice,t͡ʃ a r ɔ ɟ ɛ j ɲ ɪ t͡s ɛ
čarodějník,t͡ʃ a r ɔ ɟ ɛ j ɲ iː k
čarostřelkyně,t ʃ a r ɔ s t r̝̊ ɛ l k ɪ ɲ ɛ
čas,t͡ʃ a s
čase,t͡ʃ a s ɛ
časný,t͡ʃ a s n iː
časně,t͡ʃ a s ɲ ɛ
časomíra,t͡ʃ a s ɔ m iː r a
časopis,t͡ʃ a s ɔ p ɪ s
časoprostorový,t͡ʃ a s ɔ p r ɔ s t ɔ r ɔ v iː
časosběrný,t͡ʃ a s ɔ z b j ɛ r n iː
časoslovný,t͡ʃ a s ɔ s l ɔ v n iː
časoslovo,t͡ʃ a s ɔ s l ɔ v ɔ
časovat,t ʃ a s ɔ v a t
časovka,t͡ʃ a s ɔ f k a
časování,t͡ʃ a s ɔ v aː ɲ iː
časováních,t͡ʃ a s ɔ v aː ɲ iː x
časováním,t͡ʃ a s ɔ v aː ɲ iː m
časováními,t͡ʃ a s ɔ v aː ɲ iː m ɪ
časový,t͡ʃ a s ɔ v iː
časta,t͡ʃ a s t a
často,t͡ʃ a s t ɔ
častuška,t͡ʃ a s t ʊ ʃ k a
