a,e ɪ
a,æ ɪ
a,ɑː
a-,e ɪ
a-be,ə ˈ b i
a-frame,ˈ e ɪ f ɹ e ɪ m
a-frames,ˈ e ɪ f ɹ e ɪ m z
aa,ˈ ɑ ɑ
aa,ˈ ɑː ɑː
aabomycin,æ b o ʊ ˈ m a ɪ s ɪ n
aacap,ˈ e ɪ e ɪ k æ p
aach,æ k
aach,ɑː k
aachen,ˈ ɑ k ə n
aachen,ˈ ɑː k ə n
aacu,e ɪ e ɪ k e ɪ j ʊ
aacu,æ k ʊ
aalborg,ˈ ɔ l b ɔ ɹ
aalborg,ˈ ɔ l b ɔ ɹ ɡ
aalborg,ˈ ɔː l b ɔː ɡ
aalborg,ˈ ɔː l b ɔː ɹ
aalii,ɑ ˈ l i i
aalii,ɑː ˈ l iː iː
aalst,ɑ l s t
aalst,ɑː l s t
aam,ɑ m
aam,ɑː m
aam,ɔ m
aam,ɔː m
aandblom,ˈ ɑ n t b l ɑ m
aandblom,ˈ ɑː n t b l ɒ m
aar,ɑ ɹ
aar,ɑː ɹ
aardvark,ˈ ɑ ɹ d v ɑ ɹ k
aardvark,ˈ ɑː d v ɑː k
aardwolf,ˈ ɑ ɹ d w ʊ l f
aardwolf,ˈ ɑː d w ʊ l f
aardwolves,ˈ ɑ ɹ d w ʊ l v z
aare,ˈ ɑ ɹ ə
aare,ˈ ɑː ɹ ə
aarhus,ˈ ɔ ɹ h u s
aarhus,ˈ ɔː h uː s
aaron,ˈ æ ɹ ə n
aaron,ˈ ɛ ə ɹ ə n
aaron,ˈ ɛ ɹ ə n
aaronic,æ ɹ ˈ ɑ n ɪ k
aaronic,æ ɹ ˈ ɒ n ɪ k
aaronic,ɛ ˈ ɹ ɑ n ɪ k
aaronical,æ ɹ ɑ ˈ n ɪ k ə l
aaronical,ɛ ɹ ɑ ˈ n ɪ k ə l
aaronite,ˈ æ ɹ ə n a ɪ t
aaronite,ˈ ɛ ɹ ə n a ɪ t
aarp,e ɪ e ɪ ɑ ɹ ˈ p i
aarp,e ɪ e ɪ ɑː ˈ p iː
aasvoel,ˈ ɑ s f o ʊ ə l
aasvogel,ˈ ɑ s f o ʊ ɡ ə l
aasvogel,ˈ ɑː s f ə ʊ ɡ ə l
ab,æ b
ab,ɑ b
aba,ə ˈ b ɑ
aba,ə ˈ b ɑː
aba,ˈ æ b ə
ababda,ə ˈ b æ b d ə
ababdeh,ə ˈ b æ b d ɛ
abaca,æ b ə ˈ k ɑ
abacate,æ b ə ˈ k ɑ t i
abacavir,ə ˈ b æ k ə v ɪ ə ɹ
abacaxi,æ b ə k ə ˈ ʃ i
abacaxi,ˈ æ b ə k ə ʃ i
abaci,s a ɪ
abaci,ˈ æ b ə k a ɪ
abacinate,æ b ˈ æ s ɪ n e ɪ t
abacisci,æ b ə ˈ k ɪ s k a ɪ
abacisci,æ b ə ˈ k ɪ s k i
abacisci,æ b ə ˈ s ɪ s a ɪ
abaciscus,æ b ə ˈ s ɪ s k ə s
abaciscus,æ b ə ˈ s ɪ s k ɪ s
abacist,ə ˈ b æ k ə s t
abacist,ə ˈ b ɑ k ə s t
abacist,ˈ æ b ə k ə s t
abacist,ˈ æ b ə s ə s t
abacist,ˈ æ b ə s ɪ s t
aback,ə ˈ b æ k
