aacla,a ˈ a k l a
aaibas,a ˈ a j β a s
aak,a ˈ a k
aal,a ˈ a l
aalclim,a a l ˈ k l i n
aalclimes,a a l ˈ k l i m e s
aalclimo,a a l ˈ k l i m o
aalcuabes,a a l ˈ k w a β e s
aales,a ˈ a l e s
aam,a ˈ a n
aames,a ˈ a m e s
aangitches,a a ŋ ˈ ɡ i t t ʃ e s
aarones,a a ˈ ɾ o n e s
aaronita,a a ɾ o ˈ n i t a
aarón,a a ˈ ɾ o n
aarón,a ˈ ɾ o n
aarónico,a a ˈ ɾ o n i k o
aba,ˈ a β a
abab,a ˈ β a β
ababa,a ˈ β a β a
ababanes,a β a ˈ β a n e s
ababes,a ˈ β a β e s
ababil,a ˈ β a β i l
ababiles,a β a ˈ β i l e s
ababillando,a β a β i ˈ ʎ a n̪ d o
ababillando,a β a β i ˈ ʝ a n̪ d o
ababillar,a β a β i ˈ ʎ a ɾ
ababillar,a β a β i ˈ ʝ a ɾ
ababillaras,a β a β i ˈ ʎ a ɾ a s
ababillaras,a β a β i ˈ ʝ a ɾ a s
ababillare,a β a β i ˈ ʎ a ɾ e
ababillare,a β a β i ˈ ʝ a ɾ e
ababillares,a β a β i ˈ ʎ a ɾ e s
ababillares,a β a β i ˈ ʝ a ɾ e s
ababillaron,a β a β i ˈ ʎ a ɾ o n
ababillaron,a β a β i ˈ ʝ a ɾ o n
ababillarse,a β a β i ˈ ʎ a ɾ s e
ababillarse,a β a β i ˈ ʝ a ɾ s e
ababillarás,a β a β i ʎ a ˈ ɾ a s
ababillarás,a β a β i ʝ a ˈ ɾ a s
ababillaste,a β a β i ˈ ʎ a s t e
ababillaste,a β a β i ˈ ʝ a s t e
ababillasteis,a β a β i ˈ ʎ a s t e j s
ababillasteis,a β a β i ˈ ʝ a s t e j s
ababillándose,a β a β i ˈ ʎ a n̪ d o s e
ababillándose,a β a β i ˈ ʝ a n̪ d o s e
ababilo,a ˈ β a β i l o
ababilos,a ˈ β a β i l o s
ababo,a ˈ β a β o
ababol,a ˈ β a β o l
ababos,a ˈ β a β o s
ababra,a ˈ β a β ɾ a
ababras,a ˈ β a β ɾ a s
ababuy,a β a ˈ β u j
ababán,a β a ˈ β a n
ababúnculo,a β a ˈ β u ŋ k u l o
abaca,ˈ a β a k a
abacal,a β a ˈ k a l
abacalera,a β a k a ˈ l e ɾ a
abacalero,a β a k a ˈ l e ɾ o
abacaleros,a β a k a ˈ l e ɾ o s
abacanado,a β a k a ˈ n a ð o
abacanto,a β a ˈ k a n̪ t o
abacantos,a β a ˈ k a n̪ t o
abacaro,a β a ˈ k a ɾ o
abacaros,a b a ˈ k a ɾ o s
abacería,a β a θ e ˈ ɾ i a
abaces,a ˈ β a s e s
abaces,a ˈ β a θ e s
abachando,ˈ a n̪ d o
abacial,a β a ˈ s j a l
abacial,a β a ˈ θ j a l
abacorando,a β a k o ˈ ɾ a n̪ d o
abacteriano,a b a k t e ˈ ɾ j a n o
abacá,a β a ˈ k a
abad,a ˈ β a ð
abada,a ˈ β a ð a
abadabina,a β a ð a ˈ β i n a
abadechea,a β a ð e ˈ t ʃ e a
abadejo,a β a ˈ ð e x o
abadejos,a β a ˈ ð e x o s
abadengo,a β a ˈ ð e ŋ ɡ o
abadernamiento,a β a ð e ɾ n a ˈ m j e n̪ t o
abadernamientos,a β a ð e ɾ n a ˈ m j e n̪ t o s
abadernando,a β a ð e ɾ ˈ n a n̪ d o
abadernar,a β a ð e ɾ ˈ n a ɾ
abades,a ˈ β a ð e s
abadesa,a β a ˈ ð e s a
abadezanena,a β a ð e s a ˈ n e n a
abadgoitia,a β a ð ˈ ɣ o j t j a
abadgoitía,a β a ð ɣ o j ˈ t j a
abadia,a ˈ β a ð j a
abadiado,a β a ˈ ð j a ð o
abadiados,a β a ˈ ð j a ð o s
abadiano,a β a ˈ ð j a n o
abadianobeascoa,a β a ð j a n o β e a s ˈ k o a
abadianoveazcoa,a β a ð j a n o β e a s ˈ k o a
abadiato,a β a ˈ ð j a t o
abadiatos,a β a ˈ ð j a t o s
abadie,a β a ˈ ð j e
abadir,a β a ˈ ð i ɾ
abadires,a β a ˈ ð i ɾ e s
abadán,a β a ˈ ð a n
abadí,a β a ˈ ð i
abadía,a β a ˈ ð i a
abagrarse,a β a ˈ ɣ ɾ a ɾ s e
abaigar,a β a j ˈ ɣ a ɾ
abaitua,a ˈ β a j t w a
abaiturrioz,a β a j t u ˈ r j o s
abajadero,a β a x a ˈ ð e ɾ o
abajaderos,a β a x a ˈ ð e ɾ o s
abajador,a β a x a ˈ ð o ɾ
abajamiento,a β a x a ˈ m i e n t o
abajando,a β a ˈ x a n̪ d o
abajar,a b a ˈ x a ɾ
abajera,a β a ˈ x e ɾ a
abajeras,a β a ˈ x e ɾ a s
abajeño,a b a ˈ x e ŋ o
abajo,a ˈ β a x o
abajor,a b a ˈ x o ɾ
abakán,a β a ˈ k a n
abal,a ˈ β a l
abala,a ˈ β a l a
abalabide,a β a l a ˈ β i ð e
abalada,a β a l a ð a
abalando,a β a ˈ l a n̪ d o
abalanzadizo,a β a l a n s a ˈ ð i s o
abalanzadizo,a β a l a n θ a ˈ ð i θ o
abalanzamiento,a β a l a n s a ˈ m j e n t o
abalanzamiento,a β a l a n θ a ˈ m j e n t o
abalanzando,a β a l a n ˈ s a n̪ d o
abalanzando,a β a l a n ˈ θ a n̪ d o
abalanzar,a β a l a n ˈ s a ɾ
abalanzar,a β a l a n̪ ˈ θ a ɾ
abalanzarse,a β a l a n ˈ s a ɾ s e
abalanzarse,a β a l a n̪ ˈ θ a ɾ s e
abalar,a β a ˈ l a ɾ
abalaustrado,a β a l a u s ˈ t ɾ a d o
abalcisqueta,a β a l s i s ˈ k e t a
abalcisqueta,a β a l θ i s ˈ k e t a
abalconado,a β a l k o ˈ n a ð o
abalde,a ˈ β a l ð e
abaldonadamente,a β a l d o ˈ n a ð a ˈ m e n t e
abaldonando,a β a l ð o ˈ n a n̪ d o
abaleable,a β a l e ˈ a β l e
abaleador,a β a l e a ˈ ð o ɾ
abaleadura,a β a l e a ˈ ð u ɾ a
abaleaduras,a β a l e a ˈ ð u ɾ a s
abaleando,a β a ˈ l e a n̪ d o
abalear,a β a l e ˈ a ɾ
abaleos,a β a ˈ l e o s
abalia,a ˈ β a l j a
abalibide,a β a l i ˈ β i ð e
abalienación,a β a l j e n a ˈ s j o n
abalienación,a β a l j e n a ˈ θ j o n
abalijando,a β a l i ˈ x a n̪ d o
abaliz,a β a ˈ l i s
abalizamiento,a β a l i s a ˈ m j e n t o
abalizamiento,a β a l i θ a ˈ m j e n t o
abalizamientos,a β a l i s a ˈ m j e n t o s
abalizamientos,a β a l i θ a ˈ m j e n t o s
abalizando,a β a l i ˈ s a n̪ d o
abalizando,a β a l i ˈ θ a n̪ d o
abalizar,a β a l i ˈ θ a r
aballando,a β a ˈ ʎ a n̪ d o
aballando,a β a ˈ ʝ a n̪ d o
aballar,a β a ˈ ʝ a ɾ
aballay,a β a ˈ ʎ a j
aballay,a β a ˈ ʝ a j
aballestando,a β a ʎ e s ˈ t a n̪ d o
aballestar,a b a ˈ ʎ e s t a ɾ
aballestaste,a β a ʎ e s ˈ t a s t e
aballestaste,a β a ʝ e s ˈ t a s t e
abalorio,a b a ˈ l o ɾ j o
abalos,ˈ a β a l o s
abaluartando,a β a l w a ɾ ˈ t a n̪ d o
abaluartar,a β a l w a ɾ ˈ t a ɾ
abama,a ˈ β a m a
abameo,a β a ˈ m e o
abanación,a β a n a ˈ s j o n
abanación,a β a n a ˈ θ j o n
abanador,a β a n a ˈ ð o ɾ
abanar,a β a ˈ n a ɾ
abancalando,a β a ŋ k a ˈ l a n̪ d o
abancalar,a β a ŋ k a ˈ l a ɾ
abancaíno,a β a ŋ k a ˈ i n o
abandalizando,a β a n̪ d a l i ˈ s a n̪ d o
abandalizando,a β a n̪ d a l i ˈ θ a n̪ d o
abandalizar,a β a n d a l i ˈ θ a ɾ
abanderada,a β a n̪ d e ˈ ɾ a ð a
abanderadas,a β a n̪ d e ˈ ɾ a ð a s
abanderando,a β a n̪ d e ˈ ɾ a n̪ d o
abanderizando,a β a n̪ d e ɾ i ˈ s a n̪ d o
abanderizando,a β a n̪ d e ɾ i ˈ θ a n̪ d o
abanderizar,a β a n d e ɾ i ˈ θ a ɾ
abanderías,a β a n d e ˈ ɾ i a s
abando,a ˈ β a n̪ ð o
abandonada,a β a n ð o ˈ n a ð a
abandonadas,a β a n ð o ˈ n a ð a s
abandonados,a β a n ð o ˈ n a ð o s
abandonando,a β a n̪ d o ˈ n a n̪ d o
abandonar,a b a n d o ˈ n a r
abandonismo,a β a n d o ˈ n i s m o
abandonista,a β a n d o ˈ n i s t a
abandonos,a β a n̪ ˈ d o n o s
abaneando,a β a n e ˈ a n̪ d o
abanear,a β a n e ˈ a ɾ
abango,a ˈ β a n ɣ o
abanicador,a β a n i k a ˈ ð o ɾ
abanicamiento,a β a n i k a ˈ m j e n t o
abanicando,a β a n i ˈ k a n̪ d o
abanicar,a β a n i ˈ k a ɾ
abanicarse,a β a n i ˈ k a ɾ s e
abanicazo,a β a n i ˈ k a θ o
abanicos,a β a ˈ n i k o s
abanillo,a β a ˈ n i ʝ o
abanino,a β a ˈ n i n o
abaninos,a β a ˈ n i n o s
abaniqueo,a β a n i ˈ k e o
abaniquero,a β a n i ˈ k e ɾ o
abaniquería,a β a n i k e ˈ ɾ i a
abanquino,a β a ŋ ˈ k i n o
abantal,a b a n ˈ t a l
abanto,a ˈ β a n̪ t o
abantos,a ˈ β a n̪ t o s
abanz,a ˈ β a n s
abanzabalegui,a β a n s a β a ˈ l e ɣ i
abanzabalegui,a β a n θ a β a ˈ l e ɣ i
abanzamiento,a β a n s a ˈ m j e n t o
abanzamiento,a β a n θ a ˈ m j e n t o
abanzamientos,a β a n s a ˈ m j e n̪ t o s
abanzamientos,a β a n̪ θ a ˈ m j e n̪ t o s
abanzas,a ˈ β a n s a s
abanzas,a ˈ β a n θ a s
abaptista,a β a p ˈ t i s t a
abaptistas,a β a p ˈ t i s t a s
abaptisto,a β a p ˈ t i s t o
abara,a ˈ β a ɾ a
abarain,a β a ˈ ɾ a j n
abarajando,a β a ɾ a ˈ x a n̪ d o
abarajar,a β a ɾ a ˈ x a ɾ
abaratamiento,a β a ɾ a t a ˈ m j e n̪ t o
abaratamientos,a β a ɾ a t a ˈ m j e n̪ t o s
abaratando,a β a ɾ a ˈ t a n̪ d o
abaratar,a b a ɾ a ˈ t a r
abarañar,a β a ɾ a ˈ ɲ a ɾ
abarbando,a β a ɾ ˈ β a n̪ d o
abarbar,a β a ɾ ˈ β a ɾ
abarbechando,a β a ɾ β e ˈ t ʃ a n̪ d o
abarbetando,a β a ɾ β e ˈ t a n̪ d o
abarbetar,a β a ɾ β e t e ˈ a ɾ
abarca,a ˈ β a ɾ k a
abarcador,a β a ɾ k a ˈ ð o ɾ
abarcadura,a β a ɾ k a ˈ ð u ɾ a
abarcamiento,a β a ɾ k a ˈ m j e n̪ t o
abarcamientos,a β a ɾ k a ˈ m j e n̪ t o s
abarcando,a β a ɾ ˈ k a n̪ d o
abarcar,a b a r ˈ k a r
abarcas,a ˈ β a ɾ k a s
abarcones,a β a ɾ ˈ k o n e s
abarcuzando,a β a ɾ k u ˈ s a n̪ d o
abarcuzando,a β a ɾ k u ˈ θ a n̪ d o
abarcuzar,a β a ɾ k u ˈ s a ɾ
abarcuzar,a β a ɾ k u ˈ θ a ɾ
abarcás,a β a ɾ ˈ k a s
abarcón,a β a ɾ ˈ k o n
abardilla,a β a r ˈ ð i ʝ a
abarem,a ˈ β a ɾ e m
abareque,a β a ˈ ɾ e k e
abareques,a β a ˈ ɾ e k e s
abargues,a ˈ β a ɾ ɣ e s
abaria,a ˈ β a ɾ j a
abarisqueta,a β a ɾ i s ˈ k e t a
abaritonado,a β a ɾ i t o ˈ n a ð o
abariturrioz,a β a ɾ i t u ˈ r j o s
abarizqueta,a β a ɾ i s ˈ k e t a
abarloando,a β a ɾ l o ˈ a n̪ d o
abarloarse,a β a ɾ l o a ɾ s e
abarloemos,a β a ɾ l o ˈ e m o s
abaroa,a β a ˈ ɾ o a
abaroechevarria,a β a ɾ o e t ʃ e β a ˈ r j a
abarquero,a β a ɾ ˈ k e ɾ o
abarquillamiento,a β a ɾ k i ʎ a ˈ m j e n t o
abarquillando,a β a ɾ k i ˈ ʎ a n̪ d o
abarquillando,a β a ɾ k i ˈ ʝ a n̪ d o
abarquillar,a β a ɾ k i ˈ ʎ a ɾ
abarquillar,a β a ɾ k i ˈ ʝ a ɾ
abarracando,a β a r a ˈ k a n̪ d o
abarracar,a β a r a k a ɾ
abarracarse,a β a r a ˈ k a ɾ s e
abarrada,a β a ˈ r a ð a
abarradas,a β a ˈ r a ð a s
