ą,ɔ̃ w̃
ć,t͡ɕ ɛ
ćma,t͡ɕ m a
ćmiakać,ˈ t͡ɕ m ʲ j a k a t͡ɕ
ćmielów,ˈ t͡ɕ m ʲ j ɛ l u f
ćmić,t͡ɕ m ʲ i t͡ɕ
ćmok,t͡ɕ m ɔ k
ćmuch,t͡ɕ m u x
ćmy,t͡ɕ m ɨ
ćpanie,ˈ t͡ɕ p ã ɲ ɛ
ćpać,t͡ɕ p a t͡ɕ
ćpun,t͡ɕ p ũ n
ćwiarteczka,t͡ɕ f ʲ j a r ˈ t ɛ t͡ʂ k a
ćwiczebny,t͡ɕ f ʲ i ˈ t͡ʂ ɛ b n ɨ
ćwiczenia,t͡ɕ f ʲ i ˈ t͡ʂ ɛ̃ ɲ a
ćwiczenie,t͡ɕ f ʲ i ˈ t͡ʂ ɛ̃ ɲ ɛ
ćwiczeniowiec,t͡ɕ f ʲ i t͡ʂ ɛ̃ ˈ ɲ ɔ v ʲ j ɛ t͡s
ćwiczyć,ˈ t͡ɕ f ʲ i t͡ʂ ɨ t͡ɕ
ćwiek,t͡ɕ f ʲ j ɛ k
ćwierć,t͡ɕ f ʲ j ɛ r ʲ t͡ɕ
ćwierćdolarowy,t͡ɕ f ʲ j ɛ r ʲ d͡ʑ d ɔ l a ˈ r ɔ v ɨ
ćwierćdolarówka,t͡ɕ f ʲ j ɛ r ʲ d͡ʑ d ɔ l a ˈ r u f k a
ćwierćfinał,t͡ɕ f ʲ j ɛ r ʲ t͡ɕ ˈ f ʲ i n a w
ćwierćfinałowy,t͡ɕ f ʲ j ɛ r ʲ t͡ɕ f ʲ i n a ˈ w ɔ v ɨ
ćwierćmilionowy,t͡ɕ f ʲ j ɛ r ʲ t͡ɕ m ʲ i l ʲ j ɔ̃ ˈ n ɔ v ɨ
ćwierćnuta,t͡ɕ f ʲ j ɛ r ʲ t͡ɕ ˈ n u t a
ćwik,t͡ɕ f ʲ i k
ćwikła,ˈ t͡ɕ f ʲ i k w a
ćwok,t͡ɕ f ɔ k
ę,ɛ̃ w̃
ęsi,ˈ ɛ̃ w̃ ɕ i
łączenie,w ɔ̃ ɲ ˈ t͡ʂ ɛ̃ ɲ ɛ
łączka,ˈ w ɔ̃ ɲ t͡ʂ k a
łączniczka,w ɔ̃ ɲ t͡ʂ ʲ ˈ ɲ i t͡ʂ k a
łącznie,ˈ w ɔ̃ ɲ t͡ʂ ʲ ɲ ɛ
łącznik,ˈ w ɔ̃ ɲ t͡ʂ ʲ ɲ i k
łączność,ˈ w ɔ̃ ɲ t͡ʂ n ɔ ɕ t͡ɕ
łączyć,ˈ w ɔ̃ ɲ t͡ʂ ɨ t͡ɕ
łąka,ˈ w ɔ̃ ŋ k a
łąkarz,ˈ w ɔ̃ ŋ k a ʂ
łąkotka,w ɔ̃ ŋ ˈ k ɔ t k a
łąteczka,w ɔ̃ n ˈ t ɛ t͡ʂ k a
łątka,ˈ w ɔ̃ n t k a
łęczak,ˈ w ɛ̃ ɲ t͡ʂ a k
łęczna,ˈ w ɛ̃ ɲ t͡ʂ n a
łęczyca,w ɛ̃ ɲ ˈ t͡ʂ ɨ t͡s a
łęknica,w ɛ̃ ŋ ʲ c ˈ ɲ i t͡s a
łękotka,w ɛ̃ ŋ ˈ k ɔ t k a
ł,ɛ w
łałok,ˈ w a w ɔ k
łańcuch,ˈ w ã j̃ n t͡s u x
łańcut,ˈ w ã j̃ n t͡s u t
łaba,ˈ w a b a
łabiszyn,w a ˈ b ʲ i ʂ ɨ n
łabędzi,w a ˈ b ɛ̃ ɲ d͡ʑ i
łabędziątko,w a b ɛ̃ ɲ ˈ d͡ʑ ɔ̃ n t k ɔ
łabędź,ˈ w a b ɛ̃ ɲ t͡ɕ
łabęć,ˈ w a b ɛ̃ ɲ t͡ɕ
łach,w a x
łachać,ˈ w a x a t͡ɕ
łachman,ˈ w a x m ã n
łachudra,w a ˈ x u d r a
łaciaty,w a ˈ t͡ɕ a t ɨ
łacina,w a ˈ t͡ɕ i n a
łaciński,w a ˈ t͡ɕ i j̃ s ʲ c i
łacińskojęzyczny,w a ˈ t͡ɕ i j̃ s k ɔ j ɛ̃ w̃ ˈ z ɨ t͡ʂ n ɨ
łacny,ˈ w a t͡s n ɨ
łaczny,ˈ w a t͡ʂ n ɨ
łacznąć,ˈ w a t͡ʂ n ɔ̃ ɲ t͡ɕ
ład,w a t
łada,ˈ w a d a
ładnie,ˈ w a d ʲ ɲ ɛ
ładniutki,w a d ʲ ˈ ɲ u t ʲ c i
ładny,ˈ w a d n ɨ
ładowanie,w a d ɔ ˈ v ã ɲ ɛ
ładowarka,w a d ɔ ˈ v a r k a
ładować,w a ˈ d ɔ v a t͡ɕ
ładownia,w a ˈ d ɔ v ʲ ɲ a
ładownica,w a d ɔ v ʲ ˈ ɲ i t͡s a
ładowny,w a ˈ d ɔ v n ɨ
ładunek,w a ˈ d ũ n ɛ k
ładysław,w a ˈ d ɨ s w a f
łagier,ˈ w a ɡ ʲ ɛ r
łagiew,ˈ w a ɡ ʲ ɛ f
łagiewnik,w a ˈ ɡ ʲ ɛ v ʲ ɲ i k
łagoda,w a ˈ ɡ ɔ d a
łagodnie,w a ˈ ɡ ɔ d ʲ ɲ ɛ
łagodnieć,w a ˈ ɡ ɔ d ʲ ɲ ɛ t͡ɕ
łagodniutki,w a ɡ ɔ d ʲ ˈ ɲ u t ʲ c i
łagodność,w a ˈ ɡ ɔ d n ɔ ɕ t͡ɕ
łagodny,w a ˈ ɡ ɔ d n ɨ
