ăl,ə l
ăla,ˈ ə l a
ălalalt,ˈ ə l a l a l t
ăllalt,ˈ ə l l a l t
ălălalt,ˈ ə l ə l a l t
ăra,ˈ ə r a
ăst,ə s t
ăsta,ˈ ə s t a
ăstălalt,ˈ ə s t ə l a l t
ăui,ə u ˈ i
șăgalnic,ʃ ə ˈ ɡ a l n i k
șăgui,ʃ ə ɡ u ˈ i
șăguire,ʃ ə ɡ u ˈ i r e
șăluț,ʃ ə ˈ l u t͡s
șălvirie,ʃ ə l v i ˈ r i e
șăncăluire,ʃ ə n k ə l u ˈ i r e
șăngărire,ʃ ə n ɡ ə ˈ r i r e
șănțișor,ʃ ə n t͡s i ˈ ʃ o r
șănțui,ʃ ə n t͡s u ˈ i
șănțuire,ʃ ə n t͡s u ˈ i r e
șănțuleț,ʃ ə n t͡s u ˈ l e t͡s
șănțurel,ʃ ə n t͡s u ˈ r e l
șăruire,ʃ ə r u ˈ i r e
șătrar,ʃ ə ˈ t r a r
șătruță,ʃ ə ˈ t r u t͡s ə
șătrăreasă,ʃ ə t r ə ˈ r e̯ a s ə
șașlâc,ʃ a ʃ ˈ l ɨ k
șa,ʃ a
șabac,ʃ a ˈ b a k
șabacă,ʃ a ˈ b a k ə
șabana,ʃ a b a ˈ n a
șablon,ʃ a ˈ b l o n
șablona,ʃ a b l o ˈ n a
șablonar,ʃ a b l o ˈ n a r
șablonard,ʃ a b l o ˈ n a r d
șablonare,ʃ a b l o ˈ n a r e
șablonism,ʃ a b l o ˈ n i s m
șabloniza,ʃ a b l o n i ˈ z a
șablonizare,ʃ a b l o n i ˈ z a r e
șablonizat,ʃ a b l o n i ˈ z a t
șabotă,ʃ a ˈ b o t ə
șabăr,ˈ ʃ a b ə r
șacal,ʃ a ˈ k a l
șafar,ˈ ʃ a f a r
șagrin,ʃ a ˈ ɡ r i n
șagrina,ʃ a ɡ r i ˈ n a
șagrinare,ʃ a ɡ r i ˈ n a r e
șagrinat,ʃ a ɡ r i ˈ n a t
șagă,ˈ ʃ a ɡ ə
șah,ʃ a h
șahinșah,ʃ a h i n ˈ ʃ a h
șahist,ʃ a ˈ h i s t
șahistic,ʃ a ˈ h i s t i k
șahistă,ʃ a ˈ h i s t ə
șaibă,ˈ ʃ a j b ə
șaidaj,ʃ a j ˈ d a ʒ
șaidare,ʃ a j ˈ d a r e
șaisprezece,ˈ ʃ a j s p r e z e t͡ʃ e
șaitălire,ʃ a j t ə ˈ l i r e
șaizeci,ʃ a j ˈ z e t͡ʃ ʲ
șal,ʃ a l
șaland,ʃ a ˈ l a n d
șalander,ʃ a ˈ l a n d e r
șalanger,ˈ ʃ a l a n d ʒ e r
șalanj,ʃ a ˈ l a n ʒ
șalazion,ʃ a l a z i ˈ o n
șale,ˈ ʃ a l e
șalgău,ʃ a l ˈ ɡ ə w
șaltăr,ˈ ʃ a l t ə r
șalupar,ʃ a l u ˈ p a r
șalupist,ʃ a l u ˈ p i s t
șalupă,ʃ a ˈ l u p ə
șalvaragiu,ʃ a l v a r a ˈ d ʒ i w
șalvari,ʃ a l ˈ v a r ʲ
șalvir,ʃ a l ˈ v i r
șalău,ʃ a ˈ l ə w
șam,ʃ a m
șaman,ʃ a ˈ m a n
șamanesc,ʃ a m a ˈ n e s k
șamanism,ʃ a m a ˈ n i s m
șambelan,ʃ a m b e ˈ l a n
șambrană,ʃ a m ˈ b r a n ə
șambrare,ʃ a m ˈ b r a r e
șambrat,ʃ a m ˈ b r a t
șamiza,ʃ a m i ˈ z a
șamizare,ʃ a m i ˈ z a r e
șamizat,ʃ a m i ˈ z a t
șamoa,ʃ a ˈ m o̯ a
șamot,ʃ a ˈ m o t
șamota,ʃ a m o ˈ t a
șamotar,ʃ a m o ˈ t a r
șamotare,ʃ a m o ˈ t a r e
șamotier,ʃ a m o t i ˈ e r
șamotă,ʃ a ˈ m o t ə
șampanie,ʃ a m ˈ p a n i e
șampaniza,ʃ a m p a n i ˈ z a
șampanizare,ʃ a m p a n i ˈ z a r e
șampană,ʃ a m ˈ p a n ə
șampon,ʃ a m ˈ p o n
șan,ʃ a n
șanal,ʃ a ˈ n a l
șancru,ˈ ʃ a n k r u
șandrama,ʃ a n d r a ˈ m a
șanfren,ʃ a n ˈ f r e n
șanfrena,ʃ a n f r e ˈ n a
șanfrenare,ʃ a n f r e ˈ n a r e
șanfrenat,ʃ a n f r e ˈ n a t
șanjabil,ʃ a n ˈ ʒ a b i l
șanjant,ʃ a n ˈ ʒ a n t
șanse,ˈ ʃ a n s e
șansonetist,ʃ a n s o n e ˈ t i s t
șansonetistă,ʃ a n s o n e ˈ t i s t ə
șansonetă,ʃ a n s o ˈ n e t ə
șansonier,ʃ a n s o n i ˈ e r
șansonieră,ʃ a n s o n i ˈ e r ə
șansă,ˈ ʃ a n s ə
șantagist,ʃ a n t a ˈ d ʒ i s t
șantaj,ʃ a n ˈ t a ʒ
șantaja,ʃ a n t a ˈ ʒ a
șantajare,ʃ a n t a ˈ ʒ a r e
șantaje,ʃ a n ˈ t a ʒ e
șantajist,ʃ a n t a ˈ ʒ i s t
șantajista,ʃ a n t a ˈ ʒ i s t a
șantajiste,ʃ a n t a ˈ ʒ i s t e
șantajistei,ʃ a n t a ˈ ʒ i s t e j
șantajistul,ʃ a n t a ˈ ʒ i s t u l
șantajistului,ʃ a n t a ˈ ʒ i s t u l u j
șantajistă,ʃ a n t a ˈ ʒ i s t ə
șantajiști,ʃ a n t a ˈ ʒ i ʃ t ʲ
șantajuri,ʃ a n ˈ t a ʒ u r ʲ
șantan,ʃ a n ˈ t a n
șanteză,ʃ a n ˈ t e z ə
șantier,ʃ a n t i ˈ e r
șantierist,ʃ a n t i e ˈ r i s t
șantieristă,ʃ a n t i e ˈ r i s t ə
șantung,ˈ ʃ a n t u n ɡ
șanț,ʃ a n t͡s
șapcă,ˈ ʃ a p k ə
șapirograf,ʃ a p i r o ˈ ɡ r a f
șapirografia,ʃ a p i r o ɡ r a f i ˈ a
șapou,ʃ a ˈ p o w
șapte,ˈ ʃ a p t e
șaptelea,ˈ ʃ a p t e l e̯ a
șaptesprezece,ˈ ʃ a p t e s p r e z e t͡ʃ e
șaptezeci,ʃ a p t e ˈ z e t͡ʃ ʲ
șapteșpe,ˈ ʃ a p t e ʃ p e
șapă,ˈ ʃ a p ə
șarabană,ʃ a r a ˈ b a n ə
șaradă,ʃ a ˈ r a d ə
șarampoi,ʃ a r a m ˈ p o j
șaran,ʃ a ˈ r a n
șaretă,ʃ a ˈ r e t ə
șarg,ʃ a r ɡ
șariaj,ʃ a ˈ r i a ʒ
șarja,ʃ a r ˈ ʒ a
șarjabil,ʃ a r ˈ ʒ a b i l
șarjare,ʃ a r ˈ ʒ a r e
șarjă,ˈ ʃ a r ʒ ə
șarlatan,ʃ a r l a ˈ t a n
șarlatanesc,ʃ a r l a t a ˈ n e s k
șarlatanism,ʃ a r l a t a ˈ n i s m
șarlotă,ʃ a r ˈ l o t ə
șarlă,ˈ ʃ a r l ə
șarm,ʃ a r m
șarmant,ʃ a r ˈ m a n t
